id,name,seed,data_seed,evaluation_seed,epochs,initialization,checkpoint_selection,carrier,pipeline,x_enabled,u_enabled,lambda_x,lambda_u_interaction,x_margin,control,curriculum,amp,primary,steps_per_epoch,labeled_batch,unlabeled_batch,recipe_reference,source_audit_policy,cstar_action_enabled,ticket_curriculum_enabled,purpose
M00,ADV3B02_CORE90,392005,392005,392005,200,scratch,fixed_final_E200,ordinary,core90,False,False,0.0,0.0,0.2,off,fixed,False,False,49,128,128,core90_recipe_reference.json,baseline_only,False,False,CORE90方法基线，标准loader、原BN/MixStyle
M01,CORE90_GRID,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,False,False,0.0,0.0,0.2,off,fixed,False,False,49,128,128,core90_recipe_reference.json,baseline_only,False,False,共同执行载体；隔离网格、BN和MixStyle角色策略
M02,GRID_X,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,True,False,0.05,0.0,0.2,off,fixed,False,False,49,128,128,core90_recipe_reference.json,baseline_only,False,False,X1判别约束的CORE90移植
M03,GRID_U,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,False,True,0.0,0.01,0.2,off,fixed,False,False,49,128,128,core90_recipe_reference.json,baseline_only,False,False,Ux_normalized机制复现，统一数值环境
M04,GRID_C2,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,False,False,0.0,0.0,0.2,legacy_both,legacy_capability,False,False,49,128,128,core90_recipe_reference.json,legacy_c2,False,False,C2原控制/课程移植到共同载体
M05,GRID_XU,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,True,True,0.05,0.01,0.2,off,fixed,False,False,49,128,128,core90_recipe_reference.json,cstar_isolated_passive_or_active,False,False,几何双模块；第二个2x2的无控制无课程基点
M06,GRID_XC2,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,True,False,0.05,0.0,0.2,legacy_both,legacy_capability,False,False,49,128,128,core90_recipe_reference.json,legacy_c2,False,False,X与原C2联合
M07,GRID_UC2,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,False,True,0.0,0.01,0.2,legacy_both,legacy_capability,False,False,49,128,128,core90_recipe_reference.json,legacy_c2,False,False,U与原C2联合
M08,GRID_XUC2,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,True,True,0.05,0.01,0.2,legacy_both,legacy_capability,False,False,49,128,128,core90_recipe_reference.json,legacy_c2,False,False,直接三模块组合，检验叠加是否已经足够
M09,A1_X0_REFERENCE,392005,392005,392005,200,scratch,fixed_final_E200,a1_native,a1_fasttrust_daot,False,False,0.0,0.0,0.2,off,a1_native,False,False,222,128,256,a1_native_recipe_reference.json,baseline_only,False,False,X0训练体系桥接；保留原FT/DAOT及步数
M10,A1_X1_REFERENCE,392005,392005,392005,200,scratch,fixed_final_E200,a1_native,a1_fasttrust_daot,True,False,0.05,0.0,0.2,off,a1_native,False,False,222,128,256,a1_native_recipe_reference.json,baseline_only,False,False,X1训练体系桥接，只与M09隔离X效应
M11,CORE90_C2_REFERENCE,392005,392005,392005,200,scratch,fixed_final_E200,ordinary,core90,False,False,0.0,0.0,0.2,legacy_both,legacy_capability,False,False,49,128,128,core90_recipe_reference.json,legacy_c2,False,False,C2方法桥接；同一新数据契约，不加载旧权重
M12,XUC_INTEGRATED,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,True,True,0.05,0.01,0.2,reliable_both,exposure_matched_capability,False,True,49,128,128,core90_recipe_reference.json,cstar_isolated_passive_or_active,True,True,预先指定的完整融合主候选
M13,XUC_CONTROL_ONLY,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,True,True,0.05,0.01,0.2,reliable_both,fixed,False,False,49,128,128,core90_recipe_reference.json,cstar_isolated_passive_or_active,True,False,保留可靠动作控制，移除能力课程重排
M14,XUC_CURRICULUM_ONLY,392005,392005,392005,200,scratch,fixed_final_E200,v2_grid,core90,True,True,0.05,0.01,0.2,off,exposure_matched_capability,False,False,49,128,128,core90_recipe_reference.json,cstar_isolated_passive_or_active,False,True,保留能力课程重排，移除动作控制
